t,r
2021-04-15,1.06935359
2021-04-16,0.362605843
2021-04-19,-0.518583289
2021-04-20,-0.699120696
2021-04-21,0.928682986
2021-04-22,-0.930617704
2021-04-23,1.086955458
2021-04-26,0.183319423
2021-04-27,-0.027942267
2021-04-28,-0.067141117
2021-04-29,0.662268275
2021-04-30,-0.714865755
2021-05-03,0.267242866
2021-05-04,-0.650124382
2021-05-05,0.053758926
2021-05-06,0.802696999
2021-05-07,0.72544253
2021-05-10,-1.031757258
2021-05-11,-0.871858066
2021-05-12,-2.167213218
2021-05-13,1.192400859
2021-05-14,1.488392833
2021-05-17,-0.236524686
2021-05-18,-0.86836043
2021-05-19,-0.282147857
2021-05-20,1.044538528
2021-05-21,-0.07528029
2021-05-24,0.981637052
2021-05-25,-0.212747262
2021-05-26,0.189634111
2021-05-27,0.073371769
2021-05-28,0.129222506
